AvailabilityMeasure	Goal	Indicator	IndicatorCode	IndicatorDescription	Tier	4_Afghanistan	8_Albania	12_Algeria	20_Andorra	24_Angola	28_Antigua and Barbuda	31_Azerbaijan	32_Argentina	36_Australia	40_Austria	44_Bahamas	48_Bahrain	50_Bangladesh	51_Armenia	52_Barbados	56_Belgium	64_Bhutan	68_Bolivia (Plurinational State of)	70_Bosnia and Herzegovina	72_Botswana	76_Brazil	84_Belize	90_Solomon Islands	96_Brunei Darussalam	100_Bulgaria	104_Myanmar	108_Burundi	112_Belarus	116_Cambodia	120_Cameroon	124_Canada	132_Cabo Verde	140_Central African Republic	144_Sri Lanka	148_Chad	152_Chile	156_China	170_Colombia	174_Comoros	178_Congo	180_Democratic Republic of the Congo	188_Costa Rica	191_Croatia	192_Cuba	196_Cyprus	203_Czechia	204_Benin	208_Denmark	212_Dominica	214_Dominican Republic	218_Ecuador	222_El Salvador	226_Equatorial Guinea	231_Ethiopia	232_Eritrea	233_Estonia	242_Fiji	246_Finland	250_France	262_Djibouti	266_Gabon	268_Georgia	270_Gambia	276_Germany	288_Ghana	296_Kiribati	300_Greece	308_Grenada	320_Guatemala	324_Guinea	328_Guyana	332_Haiti	340_Honduras	348_Hungary	352_Iceland	356_India	360_Indonesia	364_Iran (Islamic Republic of)	368_Iraq	372_Ireland	376_Israel	380_Italy	384_Côte d'Ivoire	388_Jamaica	392_Japan	398_Kazakhstan	400_Jordan	404_Kenya	408_Democratic People's Republic of Korea	410_Republic of Korea	414_Kuwait	417_Kyrgyzstan	418_Lao People's Democratic Republic	422_Lebanon	426_Lesotho	428_Latvia	430_Liberia	434_Libya	438_Liechtenstein	440_Lithuania	442_Luxembourg	450_Madagascar	454_Malawi	458_Malaysia	462_Maldives	466_Mali	470_Malta	478_Mauritania	480_Mauritius	484_Mexico	492_Monaco	496_Mongolia	498_Republic of Moldova	499_Montenegro	504_Morocco	508_Mozambique	512_Oman	516_Namibia	520_Nauru	524_Nepal	528_Netherlands	548_Vanuatu	554_New Zealand	558_Nicaragua	562_Niger	566_Nigeria	578_Norway	583_Micronesia (Federated States of)	584_Marshall Islands	585_Palau	586_Pakistan	591_Panama	598_Papua New Guinea	600_Paraguay	604_Peru	608_Philippines	616_Poland	620_Portugal	624_Guinea-Bissau	626_Timor-Leste	634_Qatar	642_Romania	643_Russian Federation	646_Rwanda	659_Saint Kitts and Nevis	662_Saint Lucia	670_Saint Vincent and the Grenadines	674_San Marino	678_Sao Tome and Principe	682_Saudi Arabia	686_Senegal	688_Serbia	690_Seychelles	694_Sierra Leone	702_Singapore	703_Slovakia	704_Viet Nam	705_Slovenia	706_Somalia	710_South Africa	716_Zimbabwe	724_Spain	728_South Sudan	729_Sudan	740_Suriname	748_Eswatini	752_Sweden	756_Switzerland	760_Syrian Arab Republic	762_Tajikistan	764_Thailand	768_Togo	776_Tonga	780_Trinidad and Tobago	784_United Arab Emirates	788_Tunisia	792_Turkey	795_Turkmenistan	798_Tuvalu	800_Uganda	804_Ukraine	807_North Macedonia	818_Egypt	826_United Kingdom of Great Britain and Northern Ireland	834_United Republic of Tanzania	840_United States of America	854_Burkina Faso	858_Uruguay	860_Uzbekistan	862_Venezuela (Bolivarian Republic of)	882_Samoa	887_Yemen	894_Zambia
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.2.2	C030202	3.2.2 Neonatal mortality rate	"Tier I
"	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	0	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.3.1	C030301	"3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"	"Tier I
"	136	119	136	0	136	0	136	136	136	0	0	119	136	119	119	0	0	136	0	136	136	136	0	0	7	136	136	0	136	136	0	24	136	119	136	136	0	136	119	136	136	136	119	136	0	119	134	0	0	136	24	136	136	136	136	0	7	0	136	136	136	136	136	0	136	0	0	0	136	136	136	136	136	0	0	119	136	136	0	136	0	136	136	24	0	136	119	136	0	0	119	136	136	119	119	136	136	0	0	119	119	136	136	136	0	136	7	24	0	136	0	119	130	119	136	134	0	136	0	136	136	0	0	136	136	136	0	0	0	0	136	119	136	136	24	136	0	0	136	0	119	136	0	136	0	0	0	0	0	136	136	119	0	24	0	119	136	119	136	136	119	136	136	136	136	136	136	0	0	136	136	134	0	136	0	119	0	0	0	136	136	119	136	0	136	14	136	24	0	136	0	136	136
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.3.2	C030302	"3.3.2 Tuberculosis incidence per 100,000 population"	"Tier I
"	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	0	51	51	51	51	51	51	51	51	51	51	51	51	51	51	36	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	45	51	51	51	51	51	51	51	51	51	51	51	36	51	51	51	51	51	51	51	51	51	51	18	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.3.3	C030303	"3.3.3 Malaria incidence per 1,000 population"	"Tier I
"	5	0	5	0	5	0	5	5	0	0	0	0	5	0	0	0	5	5	0	5	5	5	5	0	0	5	5	0	5	5	0	5	5	5	5	0	5	5	5	5	5	5	0	0	0	0	5	0	0	5	5	5	5	5	5	0	0	0	0	5	5	5	5	0	5	0	0	0	5	5	5	5	5	0	0	5	5	5	5	0	0	0	5	0	0	0	0	5	5	5	0	5	5	0	0	0	5	0	0	0	0	5	5	5	0	5	0	5	0	5	0	0	0	0	0	5	0	5	0	5	0	5	0	5	5	5	0	0	0	0	5	5	5	5	5	5	0	0	5	5	0	0	0	5	0	0	0	0	5	5	5	0	0	5	0	0	5	0	5	5	5	0	5	5	5	5	0	0	0	5	5	5	0	0	0	0	5	0	0	5	0	0	0	0	5	0	5	0	5	5	0	5	5
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.3.4	C030304	"3.3.4 Hepatitis B incidence per 100,000 population"	"Tier I
"	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.3.5	C030305	3.3.5 Number of people requiring interventions against neglected tropical diseases	"Tier I
"	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.4.1	C030401	"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"	"Tier I
"	75	75	75	0	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	75	75	0	0	75	75	75	75	75	75	75	75	75	75	75	75	75	75	0	75	75	0	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	75	75	75	75	75	75	75
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.4.2	C030402	3.4.2 Suicide mortality rate	"Tier I
"	30	30	30	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	30	30	30	30	30	30	30	30	30	30	30	0	30	30	30	30	30	30	30	0	30	30	30	30	30	30	30	30	30	0	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	30	30	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.5.2	C030502	"3.5.2 Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol"	"Tier I
"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5	5	0	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	3	5	5	5	5	5	5	5	5	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.6.1	C030601	3.6.1 Death rate due to road traffic injuries	"Tier I
"	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	0	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.7.1	C030701	3.7.1 Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods	"Tier I
"	1	1	1	0	1	0	2	0	0	0	0	0	6	4	1	0	1	2	1	1	1	2	2	0	0	2	2	1	4	3	0	1	1	3	3	0	1	4	1	3	3	2	0	2	0	2	4	0	0	4	2	3	1	7	2	0	0	0	1	0	2	3	2	0	8	1	0	0	3	3	2	4	3	0	0	4	6	1	1	0	0	0	2	2	0	1	4	5	2	0	0	1	3	0	3	0	2	1	0	0	0	2	5	0	1	4	0	3	2	4	0	4	2	1	2	3	2	3	1	4	0	1	0	3	4	5	0	0	1	0	3	1	1	3	10	4	0	0	2	2	1	1	1	4	0	1	0	0	3	0	6	2	0	3	0	0	3	0	0	2	4	0	1	1	1	3	0	0	1	1	3	2	1	2	0	2	3	2	1	7	2	1	5	0	3	4	5	0	0	0	2	2	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.7.2	C030702	"3.7.2 Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group"	"Tier I
"	9	16	9	16	6	2	17	16	16	16	11	15	13	17	7	16	6	6	15	3	16	5	3	11	16	7	6	17	6	7	14	5	3	9	5	16	16	7	4	4	3	17	16	16	16	16	8	17	4	7	3	10	4	7	4	16	4	16	17	3	4	17	5	16	8	3	16	1	9	4	6	6	5	16	16	14	6	12	4	16	15	16	5	9	16	16	8	6	1	17	15	17	6	2	7	16	5	5	14	16	16	8	9	15	13	6	16	5	17	9	0	15	15	16	4	5	14	5	9	8	16	2	17	4	8	8	16	4	2	6	5	17	2	5	11	7	16	16	4	6	15	16	16	9	3	5	10	1	5	5	11	15	15	10	16	16	14	16	3	5	8	16	2	3	11	6	16	17	2	5	17	3	6	7	10	6	11	8	2	7	15	16	6	17	8	17	7	15	8	13	4	4	5
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.8.1	C030801	"3.8.1 Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)"	"Tier I
"	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.8.2	C030802	3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income	"Tier I
"	2	8	0	0	2	0	8	2	2	0	0	0	6	8	0	2	0	6	8	0	2	0	0	0	8	0	2	26	2	6	8	4	0	4	2	2	6	4	0	4	2	4	6	0	2	2	2	2	0	2	0	0	0	2	0	18	2	2	0	0	2	28	0	0	2	0	2	0	8	6	0	0	0	18	0	6	28	18	0	4	10	4	4	6	2	26	4	2	0	12	0	14	4	0	2	10	2	0	0	14	2	4	2	2	2	4	2	2	0	12	0	10	28	16	4	4	0	0	0	4	0	0	0	6	6	4	0	0	0	0	8	2	0	4	20	12	26	2	0	2	0	26	20	6	0	0	0	0	2	0	6	16	0	2	0	14	14	4	0	6	0	2	0	0	0	2	0	6	0	4	2	2	0	0	0	2	22	0	0	2	24	14	4	8	6	28	4	0	0	0	0	2	6
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.9.1	C030901	3.9.1 Mortality rate attributed to household and ambient air pollution	"Tier I
"	6	6	6	6	6	6	6	6	4	4	4	4	6	6	6	4	6	6	6	6	6	6	6	4	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	4	6	6	6	6	6	6	6	6	6	4	4	6	6	6	6	4	6	6	6	6	6	6	6	6	6	4	4	6	6	6	6	4	4	4	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	0	4	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	4	6	6	6	4	6	6	6	6	6	6	6	6	6	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	4	6	6	6	6	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	4	6	6	6	6	6	6	6
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.9.2	C030902	"3.9.2 Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"	"Tier I
"	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.9.3	C030903	3.9.3 Mortality rate attributed to unintentional poisoning	"Tier I
"	15	15	15	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	15	15	15	15	15	15	15	15	15	15	15	0	15	15	15	15	15	15	15	0	15	15	15	15	15	15	15	15	15	0	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	15	15	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.a.1	C030a01	3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older	"Tier I
"	0	3	3	3	0	0	3	3	3	3	3	3	3	3	3	3	0	0	3	3	3	0	0	3	3	3	0	3	3	0	3	3	0	3	0	3	3	3	3	3	0	3	3	3	3	3	3	3	0	3	3	3	0	3	3	3	3	3	3	3	0	3	3	3	3	3	3	0	0	0	0	3	1	3	3	3	3	3	0	3	3	3	0	3	3	3	0	3	0	3	3	3	3	3	3	3	3	0	0	3	3	0	3	3	3	3	3	0	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	0	0	3	3	3	3	3	1	3	3	3	0	3	3	3	3	3	0	0	0	0	0	3	3	3	3	3	3	3	3	3	0	3	3	3	0	0	3	3	3	3	0	0	3	3	3	0	3	3	3	0	0	3	3	0	3	3	3	3	3	3	3	0	3	3	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.b.1	C030b01	3.b.1 Proportion of the target population covered by all vaccines included in their national programme	"Tier I
"	33	39	35	30	23	29	36	39	39	34	38	43	24	36	41	33	26	20	34	26	41	29	19	34	41	26	27	34	24	23	31	23	23	33	17	36	29	41	17	22	23	34	33	29	29	34	23	41	33	20	32	38	17	23	21	34	33	25	31	26	17	35	29	41	27	29	32	32	22	17	39	18	23	40	36	23	31	34	33	24	39	30	20	33	28	39	34	25	26	36	38	34	20	34	35	40	20	36	0	35	30	21	24	29	27	23	31	21	31	43	17	34	36	21	31	22	42	19	33	20	40	17	31	23	23	19	43	41	42	43	29	41	19	34	35	28	34	34	19	16	40	34	35	26	34	34	33	32	24	41	23	34	33	25	42	42	27	36	17	42	23	30	6	26	21	35	43	38	34	34	34	20	31	38	41	34	41	34	33	20	34	34	34	41	24	26	23	28	35	27	32	35	23
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.b.2	C030b02	3.b.2 Total net official development assistance to medical research and basic health sectors	"Tier I
"	24	24	24	0	24	3	24	24	0	0	0	1	24	24	5	0	24	24	24	24	24	23	24	0	0	24	24	19	24	24	0	24	24	24	24	24	24	24	24	24	24	23	10	24	0	0	24	0	12	24	24	24	24	24	24	0	24	0	0	24	23	24	24	0	24	21	0	16	24	24	24	24	24	0	0	24	24	24	24	0	0	0	24	24	0	24	24	24	24	0	0	24	24	24	24	0	24	18	0	0	0	24	24	24	24	24	0	24	19	24	0	24	24	20	24	24	4	24	16	24	0	24	0	24	24	24	0	21	21	21	24	23	24	23	24	24	0	0	24	24	0	0	0	24	3	19	18	0	24	1	24	24	15	24	0	0	24	0	24	24	24	0	12	24	22	24	0	0	24	24	24	24	22	10	0	24	24	24	18	24	19	24	24	0	24	0	24	24	24	24	22	24	24
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.c.1	C030c01	3.c.1 Health worker density and distribution	"Tier I
"	36	8	11	7	6	0	20	10	34	26	8	56	43	20	10	33	26	16	19	26	42	7	16	47	16	27	5	20	31	18	39	24	12	34	14	32	39	36	4	10	4	9	22	41	29	22	16	38	4	11	24	11	4	22	4	28	14	27	41	15	8	24	27	24	15	15	21	21	3	13	9	0	6	32	66	49	18	12	7	19	24	17	12	27	33	19	56	31	14	52	38	23	19	28	4	54	12	16	0	19	26	44	10	24	22	15	24	8	40	22	15	31	21	24	12	27	44	8	15	11	11	12	31	33	8	23	27	17	8	11	27	34	9	7	8	14	23	50	12	31	18	19	12	19	3	21	7	13	4	23	12	26	34	12	51	16	36	24	4	39	28	63	0	17	6	13	23	25	40	25	35	12	19	36	29	33	63	24	13	13	20	22	10	28	14	12	21	7	20	3	13	13	26
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.d.1	C030d01	3.d.1 International Health Regulations (IHR) capacity and health emergency preparedness	"Tier I
"	112	14	112	108	56	112	56	98	112	112	84	112	112	98	112	112	98	98	84	56	98	70	70	98	28	112	98	28	112	98	112	42	70	112	70	98	112	112	28	84	112	112	98	98	84	98	84	98	112	98	112	98	42	98	98	112	56	84	112	56	42	112	70	70	98	70	14	70	84	56	98	84	112	112	70	84	112	98	84	42	42	42	56	98	112	70	97	70	112	70	112	14	98	84	70	98	42	112	0	112	112	56	42	98	112	28	83	84	70	112	84	98	84	84	98	84	112	42	28	112	98	70	112	98	56	98	84	112	70	112	84	98	56	84	84	112	98	70	56	112	84	98	70	56	56	84	70	28	112	98	42	55	112	84	112	112	112	112	42	98	56	112	56	84	98	98	112	112	84	56	98	84	56	98	112	84	56	28	56	70	28	84	98	28	84	112	56	56	28	98	70	56	70
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.1.1	C040101	"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"	"Tier II
"	0	24	12	0	0	0	18	51	51	48	0	18	0	18	0	36	0	0	3	30	48	3	0	0	48	0	18	0	0	18	45	0	0	0	24	60	12	54	6	18	6	36	33	6	15	54	18	51	0	24	18	12	0	0	0	27	0	48	48	0	6	33	0	54	9	0	39	0	18	0	0	0	21	63	42	6	51	33	0	45	48	63	18	0	51	30	36	12	0	48	24	12	0	15	12	48	0	0	30	54	39	6	12	27	0	6	18	6	18	54	0	6	24	24	33	12	18	12	0	0	57	0	60	18	18	0	63	0	0	0	0	24	0	18	42	6	48	45	0	0	45	51	63	0	0	0	0	0	0	21	18	33	12	0	48	48	12	54	0	30	6	48	0	0	0	12	60	36	9	0	45	24	0	18	30	45	45	0	0	12	9	24	9	36	12	60	18	48	0	6	0	9	12
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.2.1	C040201	"4.2.1 Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex"	"Tier III
"	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.2.2	C040202	"4.2.2 Participation rate in organized learning (one year before the official primary entry age), by sex"	"Tier I
"	0	28	18	0	0	12	51	48	44	0	3	36	9	0	45	48	0	51	0	21	30	48	9	33	51	0	3	39	9	17	0	48	9	0	0	30	0	39	3	12	0	18	42	48	48	0	6	48	9	48	45	48	10	24	48	18	6	51	48	33	0	9	0	0	9	0	38	24	48	30	18	0	12	36	42	0	9	12	12	12	51	48	24	12	15	21	12	27	0	12	15	51	18	51	12	24	9	0	36	39	37	6	0	40	24	19	18	0	51	51	0	24	42	9	42	0	21	3	9	19	18	0	6	10	45	0	41	3	6	3	0	42	0	6	51	24	51	46	3	12	36	45	24	3	0	51	12	12	18	12	24	12	45	9	0	0	15	39	0	0	6	12	6	0	27	3	45	51	42	24	24	13	0	15	39	9	9	0	3	3	0	36	26	24	21	18	21	27	27	48	18	6	0
